Country,Year,gdp_per_capita_constant_usd,primary_school_enrollment,under5_mortality_per_1000,basic_water_access_pct,basic_sanitation_access_pct,adolescent_fertility_rate,life_expectancy_birth,total_fertility_rate,population_growth,urban_population_pct
BEN,2003,896.146763201736,93.1921081542969,126.5,62.5732994284283,9.87676965998667,116.259,57.092,5.763,3.04920259714654,39.536
BEN,2004,907.624431209378,96.9871597290039,123.5,62.8659664905111,10.3400677635835,115.301,57.346,5.718,3.06173106096489,40.039
BEN,2005,893.91536869992,94.2145690917969,120.6,63.1536621577974,10.814694218731,110.285,57.738,5.692,3.22061199704122,40.543
BEN,2006,900.62053578735,94.3325424194336,117.9,63.436586737944,11.3007400084745,107.641,57.966,5.673,3.12066888297415,41.049
BEN,2007,926.740113754071,,115.4,63.7149109429296,11.7983015321379,106.115,58.249,5.627,2.95509554727715,41.558
BEN,2008,943.203380303862,106.483963012695,113.0,63.988382437498,12.3071178648893,102.513,58.099,5.548,3.01959398464251,42.069
BEN,2009,936.565651071554,111.44181060791,110.6,64.2565643451351,12.8267358396861,99.044,58.258,5.491,2.99903642214246,42.58
BEN,2010,928.246655329144,112.795959472656,108.4,64.5198486890521,13.3574318576564,98.186,58.387,5.452,2.98424162798508,43.093
BEN,2011,927.716412836707,114.723129272461,106.2,64.7781966695834,13.8991204082012,95.564,58.462,5.436,2.97782202797765,43.608
BEN,2012,943.918771531001,118.541481018066,103.9,65.0315792739664,14.4517136045026,95.179,58.559,5.429,2.96766540040992,44.125
BEN,2013,982.399206290516,119.383087158203,101.6,65.2795997940444,15.0147440721455,96.125,58.863,5.41,2.94885160135819,44.642
BEN,2014,1014.4330062135,119.675392150879,99.3,65.5234749625524,15.5894570732653,96.383,59.008,5.374,2.9550187594558,45.166
BEN,2015,1002.41886879614,121.990882873535,97.1,65.7627587295769,16.17540036159,96.339,59.123,5.32,2.95391627666724,45.695
BEN,2016,1006.03926633023,120.301116943359,95.0,65.9973620315647,16.7724928532971,95.223,59.283,5.254,2.92460216679542,46.229
BEN,2017,1032.90471194182,116.291519165039,92.7,66.2271993300877,17.3806539321045,91.759,59.528,5.155,2.88117869411855,46.768
BEN,2018,1071.50452156932,111.805068969727,90.5,66.4521978786729,17.9998030901084,87.888,59.71,5.031,2.8136418840483,47.312
BEN,2019,1114.17304526443,106.798400878906,88.0,66.672267150753,18.6298545928192,83.84,59.888,4.9,2.73538842831436,47.861
BEN,2020,1126.65404122154,104.033172607422,85.5,66.8873289474628,19.2707223290055,81.062,60.154,4.795,2.66259875153288,48.415
BFA,1990,332.153276660935,31.3303298950195,198.3,,,145.726,49.315,7.009,2.6348206163474,13.815
BFA,1991,353.206720757378,32.286548614502,197.6,,,144.556,49.33,6.973,2.53625917894951,14.07
BFA,1992,345.401816823349,32.8406295776367,197.3,,,136.224,49.378,6.936,2.46694750828756,14.33
BFA,1993,348.581211032689,33.7785415649414,196.9,,,127.968,49.412,6.889,2.48654572072589,14.593
BFA,1994,344.371184069503,34.9496307373047,195.9,,,128.925,49.469,6.843,2.52154952786592,14.86
BFA,1995,354.841188502861,36.8121681213379,194.3,,,131.975,49.554,6.814,2.56393697670826,15.131
BFA,1996,383.973583031147,38.6461181640625,191.8,,,135.153,49.693,6.779,2.55894111772828,15.407
BFA,1997,397.838955257373,,188.7,,,135.225,49.56,6.724,2.57799245224128,15.875
BFA,1998,415.273513470241,40.838321685791,185.4,,,134.965,50.163,6.661,2.76403220911076,16.51
BFA,1999,433.104727597234,41.9134902954102,181.8,,,130.641,50.463,6.586,2.9303462196778,17.166
BFA,2000,428.309796566198,42.8175315856934,178.1,57.5604209016516,10.1878990848946,132.811,50.808,6.519,2.98414422391968,17.844
BFA,2001,442.914122870048,44.3381385803223,174.0,57.7408444436632,10.5063052772592,128.828,51.188,6.431,3.05099351122556,18.54
BFA,2002,448.128856317091,45.1330909729004,169.3,57.267023312211,11.3937425930332,124.78,51.447,6.339,3.09039308299234,19.258
BFA,2003,468.263047790124,47.5335502624512,164.3,56.8000783226111,12.2686574331796,128.673,51.959,6.28,3.11812174449527,19.996
BFA,2004,474.086412333459,52.1790885925293,158.6,56.34175965484,13.1317299489599,124.521,52.6,6.216,3.14512608695879,20.757
BFA,2005,499.192797571217,56.6982612609863,152.3,55.8918762289044,13.9805995453405,121.768,53.271,6.182,3.14680149143287,21.537
BFA,2006,514.113131757062,60.375,145.7,55.4522332956733,14.8159146955023,126.898,53.784,6.17,3.12034537509581,22.339
BFA,2007,519.26101218434,65.8891830444336,139.0,54.9708726323817,15.5707854905595,128.051,54.377,6.11,3.03277637197036,22.996
BFA,2008,533.471299938288,71.3662185668945,132.7,54.4522322239556,16.2596775904484,129.288,55.199,6.05,2.93816522811728,23.534
BFA,2009,533.470084831931,75.7858963012695,126.8,53.9354603738644,16.9336302229932,127.528,55.791,5.992,2.91916025918168,24.079
BFA,2010,561.847221302489,76.4055299539171,121.5,53.4217027865086,17.5931679395271,127.42,56.343,5.936,2.92577947499021,24.633
BFA,2011,581.603658737407,79.7322151346571,116.8,52.911489902673,18.2380244727644,126.795,57.001,5.869,2.95657078370668,25.196
BFA,2012,600.731343697818,81.98174251568,112.6,52.404975540789,18.8675829272628,127.183,57.457,5.793,3.0171707485343,25.767
BFA,2013,616.741331164082,83.2890892862992,108.6,51.9026696621386,19.4816080899317,127.463,57.903,5.697,3.00083639274971,26.346
BFA,2014,624.576885187665,84.5538716285922,104.7,51.4054752913412,20.0801867081172,122.206,58.331,5.595,2.9733794200807,26.934
BFA,2015,630.124750752312,85.1484827713554,101.1,50.9135475105506,20.6627379954545,119.405,58.778,5.478,2.96196306547686,27.53
BFA,2016,648.420480176012,87.4065255935815,97.7,50.4274106086425,21.2290233625521,114.519,59.173,5.331,2.92508251378454,28.134
BFA,2017,669.276310328333,89.5118329042903,94.3,49.9463232303629,21.7779198987319,109.182,59.578,5.17,2.85291595529266,28.743
BFA,2018,694.492813126351,91.5019771306419,91.2,49.4711614198344,22.3095685822615,104.185,59.972,4.921,2.69713675384815,29.358
BFA,2019,717.021595096634,89.7861564043823,88.2,49.0028525018525,22.8240692453658,96.659,60.184,4.681,2.52989803984158,29.98
BFA,2020,713.8421779224,87.6988473437538,85.3,48.5409861511794,23.3206825506615,91.464,60.454,4.44,2.43522959287393,30.607
BGD,1990,473.444821021085,75.4154434204102,146.0,,,178.305,55.822,4.506,1.9903336888239,19.811
BGD,1991,480.673358976087,,139.8,,,170.848,53.781,4.261,1.91061096227259,20.257
BGD,1992,497.371173735323,,133.7,,,170.559,56.592,4.027,1.8848730627462,20.61
